ModelCode,ModelName,ModelType,TargetAlloc%,AssetClass,MinAUM,DriftThreshold,CreatedDate,RepCode,Status
MDL_CONS,Conservative Balanced,FIRM,100.0,MULTI,50000,5.0,2018-01-01,FIRM,ACTIVE
MDL_MOD,Moderate Growth,FIRM,100.0,MULTI,50000,5.0,2018-01-01,FIRM,ACTIVE
MDL_AGG,Aggressive Growth,FIRM,100.0,MULTI,50000,5.0,2018-01-01,FIRM,ACTIVE
MDL_INCOME,Income Focus,FIRM,100.0,MULTI,50000,5.0,2018-01-01,FIRM,ACTIVE
MDL_REP_A,Harrington Core Equity,REP,100.0,EQ_US,50000,5.0,2018-01-01,REP001,ACTIVE
MDL_REP_B,Patel Income & Growth,REP,100.0,EQ_US,50000,5.0,2018-01-01,REP001,ACTIVE
MDL_REP_C,Webb Tactical Allocation,REP,100.0,EQ_US,50000,5.0,2018-01-01,REP001,ACTIVE
MDL_REP_D,Kim Global Diversified,REP,100.0,EQ_US,50000,5.0,2018-01-01,REP001,ACTIVE
MDL_3P_TACTICAL,Sentinel Tactical 3P,3P,100.0,MULTI,75000,5.0,2023-01-01,REP003,ACTIVE
MDL_NONAME,,FIRM,100.0,MULTI,50000,5.0,2018-01-01,FIRM,ACTIVE
MDL_LEGACY,Legacy Runoff Model,EXPERIMENTAL,100.0,MULTI,50000,5.0,2017-01-01,FIRM,RETIRED
MDL_CONS,Conservative Balanced,FIRM,100.0,MULTI,50000,5.0,2018-01-01,FIRM,ACTIVE
